total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,code,name,club_id
95.65,29,27.9,9,0.31,5,Estádio Beira-Rio,50848,4.09,sc-internacional-porto-alegre,Sport Club Internacional,6600
109.95,35,27.9,4,0.114,2,Estádio Jornalista Mário Filho,82238,4.72,fluminense-rio-de-janeiro,Fluminense Football Club,2462
35.45,38,27.0,8,0.21100000000000002,3,Estádio Urbano Caldeira,16068,42.33,fc-santos,Santos FC,221
69.9,35,26.7,10,0.28600000000000003,4,Estádio Olímpico Nilton Santos,46931,14.33,botafogo-rio-de-janeiro,Botafogo de Futebol e Regatas,537
109.3,34,24.8,6,0.17600000000000002,2,Neo Química Arena,49205,38.03,corinthians-sao-paulo,Sport Club Corinthians Paulista,199
75.0,33,27.2,10,0.303,3,Arena do Grêmio,60540,11.94,gremio-porto-alegre,Grêmio Foot-Ball Porto Alegrense,210
89.85,33,26.3,8,0.242,6,MorumBIS,72039,7.46,fc-sao-paulo,São Paulo Futebol Clube,585
219.95,31,25.4,5,0.161,8,Allianz Parque,43713,30.31,se-palmeiras-sao-paulo,Sociedade Esportiva Palmeiras,1023
85.2,30,26.3,7,0.233,5,Arena MRV,46000,9.21,clube-atletico-mineiro,Clube Atlético Mineiro,330
165.5,27,25.9,6,0.222,9,Estádio Jornalista Mário Filho,78838,17.25,flamengo-rio-de-janeiro,CR Flamengo,614
27.05,32,25.8,2,0.063,0,Arena Pantanal,42968,995.0,cuiaba-ec-mt-,Cuiabá Esporte Clube (MT),28022
14.65,34,27.2,3,0.08800000000000001,0,Estádio de Hailé Pinheiro,14525,0.0,goias-ec,Goiás EC,3197
16.9,29,26.6,1,0.034,0,Estádio Raimundo Sampaio,25000,15.08,america-futebol-clube-mg-,América Futebol Clube (MG),2863
41.8,31,28.3,8,0.258,2,Estádio Governador Plácido Castelo,60326,537.0,fortaleza-esporte-clube,Fortaleza Esporte Clube,10870
66.9,32,25.2,9,0.281,3,Ligga Arena,42372,33.11,club-athletico-paranaense,Club Athletico Paranaense,679
23.7,33,24.9,1,0.03,1,Estádio Major Antônio Couto Pereira,40502,1.98,coritiba-fc,Coritiba Foot Ball Club,776
66.3,32,25.4,6,0.188,1,Estádio Governador Magalhães Pinto,61927,1.91,ec-cruzeiro-belo-horizonte,Cruzeiro Esporte Clube,609
69.3,30,26.7,8,0.267,5,Estádio São Januário,24584,5.77,vasco-da-gama-rio-de-janeiro,Clube de Regatas Vasco da Gama,978
60.95,27,28.3,6,0.222,1,Arena Fonte Nova,47364,17.28,esporte-clube-bahia,Esporte Clube Bahia,10010
75.4,29,24.1,5,0.172,5,Estádio Nabi Abi Chedid,15010,13.5,red-bull-bragantino,Red Bull Bragantino,8793
